rank,trial_number,optuna_value,seed,best_avg_last_k_soft,best_epoch,best_val_soft,best_val_hard05,best_ckpt_path,batch_size,base_lr,enc_lr_mult,weight_decay,mini_aspp,mini_aspp_gpool,use_sa,sa_window_size,sa_dropout,loss,bce_w,dice_w,alpha_focal,gamma_focal,loss_name_reconstructed,phase2_ckpt,study_name,storage
2,183,0.7368852778001036,42,0.7421441539373925,30,0.7441502453392729,0.8989956526521053,checkpoints/seg_top10/rank02_trial0183/best.pth,16,0.004367965030782372,0.2997214426559683,9.699004503917355e-06,True,True,False,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
3,195,0.7365370037707877,42,0.7418819623014101,30,0.7429364716059509,0.9061145631477554,checkpoints/seg_top10/rank03_trial0195/best.pth,16,0.0061634544885789885,0.22918662008681323,9.73267272634917e-06,True,True,False,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
6,162,0.7358829092472158,42,0.7391667884974208,30,0.7392995999581855,0.8973370675552399,checkpoints/seg_top10/rank06_trial0162/best.pth,16,0.00468433630699619,0.29663859447792246,1.1292893512630405e-05,True,True,False,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
9,68,0.7354913873716872,42,0.7388417542920348,27,0.7410562659937027,0.9014120394205476,checkpoints/seg_top10/rank09_trial0068/best.pth,16,0.004730862904683965,0.16029605447991183,1.3755901567897892e-05,True,True,True,32,0.05,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
4,157,0.7361143727727393,42,0.7384737914562178,30,0.7371885733802164,0.9028544022721496,checkpoints/seg_top10/rank04_trial0157/best.pth,16,0.0035438197773831675,0.2964597125680246,9.598080989060536e-06,True,True,False,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
1,161,0.7368869878034643,42,0.7372880397552123,27,0.7393665352018558,0.9056095975857387,checkpoints/seg_top10/rank01_trial0161/best.pth,16,0.004736376187183004,0.29640621511294796,1.2077212359434343e-05,True,True,False,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
5,184,0.7359329941900488,42,0.7325181186812691,17,0.7408221451072716,0.8921151952223575,checkpoints/seg_top10/rank05_trial0184/best.pth,16,0.003555924338616445,0.28869827399478587,1.3982784918411064e-05,True,True,False,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
10,123,0.7354671158689133,42,0.7187818329718585,7,0.7305118334019851,0.8796946000545582,checkpoints/seg_top10/rank10_trial0123/best.pth,16,0.004605255254227675,0.22879045760973016,1.0049174481826655e-05,True,True,True,16,0.0,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
7,91,0.7357517930421423,42,0.7134923987363359,5,0.72834593960006,0.8594798945841637,checkpoints/seg_top10/rank07_trial0091/best.pth,16,0.006221666440044504,0.16609519368901662,1.4274022701235446e-05,True,True,True,8,0.05,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
8,81,0.7355729586742026,42,0.7110046829344316,4,0.7115239248050784,0.8406604464225312,checkpoints/seg_top10/rank08_trial0081/best.pth,16,0.006748580218319896,0.15616858316437957,1.3631827300169916e-05,True,True,True,8,0.05,BCEDiceLoss,0.3,,,,BCEDiceLoss,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_phase2/phase2_seed13_best.pth,UltraLightFCN_seg_finetune_softdice_RGB,sqlite:///UltraLightFCN_study.db
