trial_number,optuna_rank_proxy_value,ckpt_path,knn_f1,knn_precision,knn_recall,knn_accuracy,final_val_ratio_retrain,simclr_lr,weight_decay,simclr_temperature,warmup_ratio,proj_hidden_dim,proj_out_dim,max_grad_norm
33,0.13529673960656435,checkpoints/top10/trial33_encoder.pth,0.9060240963850401,0.8805620608899276,0.9330024813895758,0.8476562499999983,0.14153382780411056,0.0025773711595720793,0.00011492187539549557,0.05112583833864784,0.24073690765062392,256,128,2.0
34,0.1359004092248573,checkpoints/top10/trial34_encoder.pth,0.8913043478255851,0.868235294117645,0.9156327543424294,0.8242187499999983,0.11760128116326315,0.0029601999542856194,0.0001352552544834269,0.050724957167712824,0.24131853633024924,256,64,2.0
61,0.14165195432246608,checkpoints/top10/trial61_encoder.pth,0.8931572629046602,0.8651162790697654,0.9230769230769207,0.8261718749999983,0.15876833625240272,0.0029512476725876637,0.00011905056241249272,0.05066382859726862,0.24152271801784178,128,64,1.0
83,0.14761145578690432,checkpoints/top10/trial83_encoder.pth,0.9059829059824038,0.8918269230769209,0.920595533498757,0.8496093749999983,0.16019070590381854,0.0029730273921843567,0.00014583199286450556,0.06703095527590501,0.23914627829911708,128,64,1.0
92,0.14831001217294032,checkpoints/top10/trial92_encoder.pth,0.885889570551645,0.8762135922330075,0.8957816377171193,0.8183593749999983,0.128061233377667,0.0029918727204819753,6.0868567409512056e-05,0.05427583347653137,0.11163385226469368,128,64,1.0
32,0.151105812807418,checkpoints/top10/trial32_encoder.pth,0.9079903147694737,0.8865248226950333,0.9305210918114121,0.8515624999999983,0.15196268440928662,0.0025675349295728707,0.00012114033209597344,0.05060246552597808,0.23653367813158288,256,128,2.0
95,0.15151898490301133,checkpoints/top10/trial95_encoder.pth,0.8998793727377369,0.8755868544600918,0.9255583126550845,0.8378906249999983,0.17151620275239277,0.0025760842942381566,5.8508698704835284e-05,0.057947623920630444,0.11063885962413404,128,64,1.0
35,0.15181120143450405,checkpoints/top10/trial35_encoder.pth,0.900243309001931,0.8830548926014298,0.9181141439205932,0.8398437499999983,0.14429943028677755,0.002952334889053202,0.0001860186940445805,0.050096820500747874,0.23874602296876976,256,64,2.0
54,0.15360679103431382,checkpoints/top10/trial54_encoder.pth,0.901098901098399,0.8870192307692286,0.9156327543424294,0.8417968749999983,0.18467315786894045,0.0029354233356463856,0.00020601882785488504,0.07890526716432007,0.24408323083215694,128,64,1.0
41,0.1536470581040041,checkpoints/top10/trial41_encoder.pth,0.8899755501217472,0.8771084337349376,0.9032258064516107,0.8242187499999983,0.1442291676861205,0.0029354250151397156,0.00010603297487867384,0.050248713308429074,0.24221511597886528,128,64,1.0
