trial_number,optuna_rank_proxy_value,ckpt_path,mini_val_soft_dice,mini_seg_pos_weight,mini_seg_bce_weight,mini_seg_dice_weight,retrain_train_loss,simclr_alignment,simclr_uniformity,simclr_lr,weight_decay,simclr_temperature,warmup_ratio,proj_hidden_dim,proj_out_dim,max_grad_norm,simclr_batch_size
93,0.12018909102359832,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial93_encoder_retrain.pth,0.6580259088675595,1.319712819439686,0.4,0.6,0.14472314833917402,0.3382466733455658,-3.7691187858581543,0.0026629964692311825,5.184308818849985e-05,0.05330649840798143,0.08180169312656363,256,128,2.0,256
96,0.1218872859448424,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial96_encoder_retrain.pth,0.6605629742372539,1.319712819439686,0.4,0.6,0.12921300826763565,0.33327774703502655,-3.770033836364746,0.002769312538467493,4.101755673954282e-05,0.05316388061253266,0.08191907957982943,256,128,2.0,256
34,0.12193421465265523,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial34_encoder_retrain.pth,0.6623766478732577,1.319712819439686,0.4,0.6,0.15370160485194487,0.3447331488132477,-3.792900562286377,0.00285885000061521,3.9920441713468615e-05,0.06097981655159937,0.14195796984389894,256,128,2.0,256
83,0.12218767182380323,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial83_encoder_retrain.pth,0.6645085967912374,1.319712819439686,0.4,0.6,0.14282326527278533,0.3400779366493225,-3.7876272201538086,0.0029945367192992247,9.902794208036887e-05,0.05827617288878179,0.12110690633858313,256,128,2.0,256
95,0.12262025872370108,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial95_encoder_retrain.pth,0.6607088299500811,1.319712819439686,0.4,0.6,0.1551555743102323,0.34281402826309204,-3.7916417121887207,0.0027054085949301246,4.1665061017469724e-05,0.06091784163416336,0.08233326945401358,256,128,2.0,256
75,0.12444991012985669,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial75_encoder_retrain.pth,0.6629139284104208,1.319712819439686,0.4,0.6,0.16210453051396392,0.3446650207042694,-3.803164005279541,0.0029989799419352023,2.6226508273678777e-05,0.06554302955366835,0.13465249130264795,256,128,2.0,256
92,0.12492580484574141,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial92_encoder_retrain.pth,0.6601372625318065,1.319712819439686,0.4,0.6,0.15027679663828827,0.34387101233005524,-3.769698143005371,0.0023636322774022995,5.3098956264628875e-05,0.0535528093257014,0.09263120720256696,256,128,2.0,256
73,0.12741548887210719,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial73_encoder_retrain.pth,0.6625096546220928,1.319712819439686,0.4,0.6,0.17214963424273513,0.3430241048336029,-3.799053192138672,0.0026279683821383982,3.4620452524580766e-05,0.06544214175860255,0.11288232588235987,256,128,2.0,256
65,0.12823386538091094,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial65_encoder_retrain.pth,0.6557091892031465,1.319712819439686,0.4,0.6,0.1418748368424448,0.3131106346845627,-3.7389159202575684,0.002989953971764673,3.2732442394803914e-05,0.055098714387491546,0.14668013141885297,256,64,2.0,256
72,0.12911561538167915,/workspace/UltraLightFCN/pretrain/checkpoints/simclr_topk_retrain_downstream/trial72_encoder_retrain.pth,0.6624112755739642,1.319712819439686,0.4,0.6,0.17218534360555085,0.35378211736679077,-3.8020849227905273,0.0026601480370909256,1.9105565040073007e-05,0.06513152173388358,0.1353131336734989,256,128,2.0,256
