candidate_id,seed,optuna_value_phase4,loss_name,best_avg_last_k_soft,best_epoch,best_val_soft,best_val_hard05,final_val_soft,final_val_hard05,ckpt_last_path
56,37,,,0.7472138874522155,30,0.7485763095733236,0.9018924582582368,0.7485763095733236,0.9018924582582368,topk\trial_56\seed_37\last.pth
64,13,,,0.7465591340040778,29,0.7508021986332779,0.9047405780904082,0.7313266316304396,0.9044997067206678,topk\trial_64\seed_13\last.pth
63,37,,,0.7464790025989265,30,0.747192056845984,0.9000835789269604,0.747192056845984,0.9000835789269604,topk\trial_63\seed_37\last.pth
62,37,,,0.7463083011032283,30,0.7462563550594156,0.9005382970897415,0.7462563550594156,0.9005382970897415,topk\trial_62\seed_37\last.pth
66,37,,,0.7463010691175895,30,0.747729921027651,0.901312345654618,0.747729921027651,0.901312345654618,topk\trial_66\seed_37\last.pth
63,13,,,0.7458866848457233,30,0.7444881470125317,0.9080040691294564,0.7444881470125317,0.9080040691294564,topk\trial_63\seed_13\last.pth
54,37,,,0.7456506674671592,30,0.7467050157582235,0.9023941819810266,0.7467050157582235,0.9023941819810266,topk\trial_54\seed_37\last.pth
66,13,,,0.7451882511910435,30,0.7472086276587344,0.9090482285127212,0.7472086276587344,0.9090482285127212,topk\trial_66\seed_13\last.pth
61,71,,,0.7450333591829674,29,0.7444257095292093,0.9046888033019804,0.7441526741636,0.9025470208247548,topk\trial_61\seed_71\last.pth
81,71,,,0.7450212639754129,27,0.7457605025055857,0.9020028857835984,0.7411227474653416,0.9031165901529165,topk\trial_81\seed_71\last.pth
64,37,,,0.7447435835461818,25,0.7459577708886019,0.9062370749270708,0.7417393579623524,0.9031175256772364,topk\trial_64\seed_37\last.pth
75,37,,,0.7445753822084408,30,0.7453879806510046,0.9008942046827082,0.7453879806510046,0.9008942046827082,topk\trial_75\seed_37\last.pth
81,37,,,0.7444196645391077,30,0.7449136281936416,0.8961536103606113,0.7449136281936416,0.8961536103606113,topk\trial_81\seed_37\last.pth
61,37,,,0.7443118647902114,30,0.7450527654771066,0.9019715527263292,0.7450527654771066,0.9019715527263292,topk\trial_61\seed_37\last.pth
54,71,,,0.744152212634388,30,0.7430030316148631,0.9049330913564196,0.7430030316148631,0.9049330913564196,topk\trial_54\seed_71\last.pth
81,13,,,0.7441376065906644,25,0.7427129174088235,0.9074534783979736,0.7450869726312529,0.9047134832470978,topk\trial_81\seed_13\last.pth
62,13,,,0.743948394944425,28,0.7449353805752487,0.9091038167378996,0.7439563412730814,0.9091342400630632,topk\trial_62\seed_13\last.pth
66,71,,,0.7434610275807751,24,0.7452204085804074,0.9038999923683376,0.7424239151521845,0.906203836272378,topk\trial_66\seed_71\last.pth
56,71,,,0.7433851291856592,26,0.7466266140001259,0.9012577864221718,0.7400042947220036,0.9030035073054132,topk\trial_56\seed_71\last.pth
55,37,,,0.74327912025306,20,0.745272881635317,0.9006865646287054,0.741747129363053,0.9035320272431008,topk\trial_55\seed_37\last.pth
64,71,,,0.7432340744862764,27,0.7408702256273049,0.9073305752521852,0.7408607016869498,0.9039420917556478,topk\trial_64\seed_71\last.pth
75,13,,,0.7431340852320834,26,0.7443021476798953,0.9099166436957348,0.731089196532136,0.9144017223792712,topk\trial_75\seed_13\last.pth
54,13,,,0.7428401669603384,28,0.7446505057326175,0.894644840253304,0.7388645889820571,0.8977253382115233,topk\trial_54\seed_13\last.pth
55,71,,,0.7423944163394436,23,0.7429716750282875,0.8991263903841191,0.7339649281718726,0.8989880337267538,topk\trial_55\seed_71\last.pth
75,71,,,0.7420922732902908,29,0.7435516554679572,0.9108724498591128,0.7364827780120653,0.9052863826339338,topk\trial_75\seed_71\last.pth
61,13,,,0.7419264820228815,30,0.7345679862426675,0.9082688091212584,0.7345679862426675,0.9082688091212584,topk\trial_61\seed_13\last.pth
56,13,,,0.7418385668162284,28,0.7420497599059408,0.9038130343061208,0.7402958220254959,0.9049201739253568,topk\trial_56\seed_13\last.pth
55,13,,,0.7397648926734774,27,0.7364094201976026,0.9030793111990184,0.7322291381330617,0.9079219221074792,topk\trial_55\seed_13\last.pth
63,71,,,0.7384568381290697,20,0.7391331307401877,0.9003921851094334,0.7373876684416826,0.8980575249470666,topk\trial_63\seed_71\last.pth
62,71,,,0.7371014764574815,20,0.7364315053934732,0.9044495042767966,0.727302214431379,0.9044215733530576,topk\trial_62\seed_71\last.pth
